 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #175,0,0,0,0,0,0,0,0,0,7,11,0,2
eChild #176,0,0,0,0,0,0,0,0,0,38,6,0,2
eChild #177,0,0,0,1,0,0,0,0,0,9,20,0,0
eChild #178,0,0,0,1,0,0,0,0,0,6,10,0,0
eChild #179,0,0,0,0,0,0,0,0,0,2,0,0,1
eChild #180,0,0,0,0,0,0,0,0,0,5,0,0,1
eChild #181,0,0,0,1,0,0,0,0,0,4,1,0,0
eChild #182,0,0,0,1,0,0,0,0,0,17,5,0,0
eChild #183,0,0,0,0,0,0,0,0,0,4,21,0,1
eChild #184,0,0,0,2,0,0,0,0,0,1,18,0,0
eChild #185,0,0,0,0,0,0,0,0,0,0,2,0,1
eChild #186,0,0,0,0,0,0,0,0,0,3,43,0,3
eChild #187,0,0,0,0,0,0,0,0,0,0,2,0,1
eChild #188,0,0,0,2,0,0,0,0,0,2,10,0,0
eChild #189,0,0,0,2,0,0,0,0,0,2,21,0,0
eChild #190,0,0,0,2,0,0,0,0,0,5,4,0,0
eChild #191,0,0,0,0,0,0,0,0,0,3,2,0,6
eChild #192,0,0,0,2,0,0,0,0,0,1,4,0,0
eChild #193,0,0,0,0,0,0,0,0,0,6,9,0,1
eChild #194,0,0,0,1,0,0,0,0,0,4,1,0,0
eChild #195,0,0,0,1,0,0,0,0,0,7,1,0,2
eChild #196,0,0,0,2,0,0,0,0,0,19,15,0,0
eChild #197,0,0,0,0,0,0,0,0,0,0,17,0,8
eChild #198,0,0,0,2,0,0,0,0,0,10,0,0,1
eChild #199,0,0,0,5,0,0,0,0,0,6,26,0,0
eChild #200,0,0,0,0,0,0,0,0,0,36,0,0,1
eChild #201,0,0,0,1,0,0,0,0,0,5,4,0,0
eChild #202,0,0,0,0,0,0,0,0,0,14,6,0,1
eChild #203,0,0,0,0,0,0,0,0,0,0,6,0,2
eChild #204,0,0,0,1,0,0,0,0,0,0,7,0,0
eChild #205,0,0,0,1,0,0,0,0,0,3,1,0,0
eChild #206,0,0,0,3,0,0,0,0,0,0,8,0,1
eChild #207,0,0,0,2,0,0,0,0,0,4,1,0,0
eChild #208,0,0,0,0,0,0,0,0,0,2,0,0,3
eChild #209,0,0,0,1,0,0,0,0,0,9,3,0,0
eChild #210,0,0,0,0,0,0,0,0,0,1,11,0,1
eChild #211,0,0,0,0,0,0,0,0,0,1,11,0,1
eChild #212,0,0,0,0,0,0,0,0,0,0,2,0,4
eChild #213,0,0,0,0,0,0,0,0,0,7,1,0,2
eChild #214,0,0,0,3,0,0,0,0,0,18,1,0,0
eChild #215,0,0,0,0,0,0,0,0,0,4,19,0,2
eChild #216,0,0,0,0,0,0,0,0,0,15,22,0,1
eChild #217,0,0,0,0,0,0,0,0,0,0,5,0,7
eChild #218,0,0,0,1,0,0,0,0,0,7,5,0,0
eChild #219,0,0,0,1,0,0,0,0,0,5,26,0,0
eChild #220,0,0,0,1,0,0,0,0,0,7,5,0,0
eChild #221,0,0,0,0,0,0,0,0,0,2,11,0,1
eChild #222,0,0,0,0,0,0,0,0,0,6,25,0,1
eChild #223,0,0,0,1,0,0,0,0,0,0,8,0,4
eChild #224,0,0,0,1,0,0,0,0,0,9,1,0,0
eChild #225,0,0,0,1,0,0,0,0,0,1,4,0,0
eChild #226,0,0,0,2,0,0,0,0,0,6,3,0,0
eChild #227,0,0,0,2,0,0,0,0,0,0,8,0,0
eChild #228,0,0,0,0,0,0,0,0,0,11,15,0,1
eChild #229,0,0,0,5,0,0,0,0,0,3,0,0,1
eChild #230,0,0,0,2,0,0,0,0,0,2,30,0,0
eChild #231,0,0,0,0,0,0,0,0,0,4,1,0,9
eChild #232,0,0,0,0,0,0,0,0,0,1,6,0,2
eChild #233,0,0,0,0,0,0,0,0,0,2,4,0,2
eChild #234,0,0,0,1,0,0,0,0,0,5,3,0,0
eChild #235,0,0,0,0,0,0,0,0,0,0,5,0,1
eChild #236,0,0,0,4,0,0,0,0,0,3,13,0,0
eChild #237,0,0,0,0,0,0,0,0,0,2,3,0,2
eChild #238,0,0,0,0,0,0,0,0,0,8,4,0,7
eChild #239,0,0,0,2,0,0,0,0,0,10,2,0,0
eChild #240,0,0,0,1,0,0,0,0,0,0,19,0,0
eChild #241,0,0,0,0,0,0,0,0,0,13,3,0,2
eChild #242,0,0,0,1,0,0,0,0,0,1,2,0,0
eChild #243,0,0,0,1,0,0,0,0,0,1,25,0,0
eChild #244,0,0,0,0,0,0,0,0,0,25,4,0,7
eChild #245,0,0,0,0,0,0,0,0,0,1,0,0,1
eChild #246,0,0,0,1,0,0,0,0,0,2,3,0,0
eChild #247,0,0,0,0,0,0,0,0,0,2,0,0,10
eChild #248,0,0,0,1,0,0,0,0,0,6,16,0,0
eChild #249,0,0,0,1,0,0,0,0,0,2,5,0,0
eChild #250,0,0,0,0,0,0,0,0,0,0,2,0,5
eChild #251,0,0,0,0,0,0,0,0,0,2,1,0,2
eChild #252,0,0,0,0,0,0,0,0,0,0,18,0,4
eChild #253,0,0,0,0,0,0,0,0,0,3,27,0,2
eChild #254,0,0,0,1,0,0,0,0,0,0,4,0,0
eChild #255,0,0,0,0,0,0,0,0,0,16,7,0,2
eChild #256,0,0,0,1,0,0,0,0,0,9,12,0,0
eChild #257,0,0,0,0,0,0,0,0,0,0,5,0,3
eChild #258,0,0,0,1,0,0,0,0,0,1,25,0,2
eChild #259,0,0,0,8,0,0,0,0,0,1,3,0,0
eChild #260,0,0,0,1,0,0,0,0,0,7,2,0,6
eChild #261,0,0,0,0,0,0,0,0,0,5,9,0,1
eChild #262,0,0,0,0,0,0,0,0,0,0,1,0,2
eChild #263,0,0,0,1,0,0,0,0,0,0,4,0,0
eChild #264,0,0,0,0,0,0,0,0,0,0,19,0,1
eChild #265,0,0,0,3,0,0,0,0,0,2,6,0,0
eChild #266,0,0,0,0,0,0,0,0,0,3,17,0,3
eChild #267,0,0,0,0,0,0,0,0,0,4,0,0,4
eChild #268,0,0,0,5,0,0,0,0,0,0,17,0,0
eChild #269,0,0,0,0,0,0,0,0,0,1,4,0,2
eChild #270,0,0,0,1,0,0,0,0,0,3,38,0,3
eChild #271,0,0,0,0,0,0,0,0,0,0,14,0,1
eChild #272,0,0,0,2,0,0,0,0,0,3,9,0,1
eChild #273,0,0,0,0,0,0,0,0,0,8,11,0,1
eChild #274,0,0,0,1,0,0,0,0,0,0,2,0,0
eChild #275,0,0,0,1,0,0,0,0,0,4,1,0,0
eChild #276,0,0,0,0,0,0,0,0,0,0,2,0,1
eChild #277,0,0,0,1,0,0,0,0,0,3,0,0,2
eChild #278,0,0,0,1,0,0,0,0,0,1,17,0,0
eChild #279,0,0,0,1,0,0,0,0,0,6,2,0,0
eChild #280,0,0,0,0,0,0,0,0,0,0,3,0,2
eChild #281,0,0,0,2,0,0,0,0,0,0,20,0,0
eChild #282,0,0,0,1,0,0,0,0,0,0,15,0,0
eChild #283,0,0,0,0,0,0,0,0,0,13,5,0,1
eChild #284,0,0,0,0,0,0,0,0,0,1,13,0,1
eChild #285,0,0,0,1,0,0,0,0,0,5,0,0,2
eChild #286,0,0,0,7,0,0,0,0,0,10,0,0,1
eChild #287,0,0,0,1,0,0,0,0,0,0,1,0,0
eChild #288,0,0,0,1,0,0,0,0,0,1,11,0,0
eChild #289,0,0,0,0,0,0,0,0,0,2,10,0,4
eChild #290,0,0,0,1,0,0,0,0,0,0,15,0,0
eChild #291,0,0,0,1,0,0,0,0,0,7,5,0,0
eChild #292,0,0,0,0,0,0,0,0,0,1,3,0,2
eChild #293,0,0,0,0,0,0,0,0,0,18,28,0,1
eChild #294,0,0,0,2,0,0,0,0,0,9,2,0,0
