 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #140,0,0,0,0,0,0,0,41,0,0,24,11,0
eChild #141,0,0,0,0,0,0,0,4,0,0,21,32,0
eChild #142,0,0,0,3,0,0,0,1,0,0,3,39,0
eChild #143,0,0,0,0,0,0,0,0,0,0,0,2,0
eChild #144,0,0,0,0,0,0,0,3,0,0,6,28,0
eChild #145,0,0,0,0,0,0,0,4,0,0,4,2,0
eChild #146,0,0,0,0,0,0,0,13,0,0,7,5,0
eChild #147,0,0,0,0,0,0,0,15,0,0,0,9,0
eChild #148,0,0,0,3,0,0,0,1,0,0,13,12,0
eChild #149,0,0,0,0,0,0,0,6,0,0,20,8,0
eChild #150,0,0,0,1,0,0,0,11,0,0,3,15,0
eChild #151,0,0,0,0,0,0,0,18,0,0,17,0,0
eChild #152,0,0,0,0,0,0,0,22,0,0,35,21,0
eChild #153,0,0,0,0,0,0,0,0,0,0,0,2,0
eChild #154,0,0,0,0,0,0,0,3,0,0,0,6,0
eChild #155,0,0,0,0,0,0,0,7,0,0,1,9,0
eChild #156,0,0,0,2,0,0,0,3,0,0,11,19,0
eChild #157,0,0,0,3,0,0,0,10,0,0,4,28,0
eChild #158,0,0,0,0,0,0,0,2,0,0,21,0,0
eChild #159,0,0,0,0,0,0,0,12,0,0,12,0,0
eChild #160,0,0,0,0,0,0,0,1,0,0,6,13,0
eChild #161,0,0,0,0,0,0,0,9,0,0,16,5,0
eChild #162,0,0,0,0,0,0,0,1,0,0,6,5,0
eChild #163,0,0,0,0,0,0,0,17,0,0,8,17,0
eChild #164,0,0,0,0,0,0,0,9,0,0,3,5,0
eChild #165,0,0,0,0,0,0,0,0,0,0,6,11,0
eChild #166,0,0,0,0,0,0,0,24,0,0,9,24,0
eChild #167,0,0,0,0,0,0,0,37,0,0,1,4,0
eChild #168,0,0,0,0,0,0,0,4,0,0,2,3,0
eChild #169,0,0,0,5,0,0,0,2,0,0,27,18,0
eChild #170,0,0,0,2,0,0,0,9,0,0,15,13,0
eChild #171,0,0,0,0,0,0,0,8,0,0,6,0,0
eChild #172,0,0,0,0,0,0,0,24,0,0,2,8,0
eChild #173,0,0,0,0,0,0,0,6,0,0,6,24,0
eChild #174,0,0,0,0,0,0,0,0,0,0,0,23,0
eChild #175,0,0,0,2,0,0,0,0,0,0,2,30,0
eChild #176,0,0,0,0,0,0,0,16,0,0,7,16,0
eChild #177,0,0,0,0,0,0,0,32,0,0,0,6,0
eChild #178,0,0,0,1,0,0,0,16,0,0,21,16,0
eChild #179,0,0,0,0,0,0,0,4,0,0,9,4,0
eChild #180,0,0,0,0,0,0,0,3,0,0,0,12,0
eChild #181,0,0,0,1,0,0,0,25,0,0,6,7,0
eChild #182,0,0,0,2,0,0,0,25,0,0,25,29,0
eChild #183,0,0,0,1,0,0,0,8,0,0,8,11,0
eChild #184,0,0,0,0,0,0,0,2,0,0,2,7,0
eChild #185,0,0,0,0,0,0,0,3,0,0,5,12,0
eChild #186,0,0,0,0,0,0,0,5,0,0,4,1,0
eChild #187,0,0,0,0,0,0,0,20,0,0,12,3,0
eChild #188,0,0,0,1,0,0,0,5,0,0,1,33,0
