 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #654,0,1,0,91,0,91,0,0,0,0,0,0,0
eChild #655,0,2,0,0,0,0,0,0,0,7,0,0,0
eChild #656,0,3,0,53,0,53,0,0,0,10,0,0,0
eChild #657,0,5,0,3,0,3,0,0,0,5,0,0,0
eChild #658,0,0,0,0,0,0,0,0,0,13,0,0,0
eChild #659,0,0,0,84,0,84,0,0,0,6,0,0,0
eChild #660,0,1,0,108,0,108,0,0,0,3,0,0,0
eChild #661,0,0,0,111,0,111,0,0,0,8,0,0,0
eChild #662,0,4,0,9,0,9,0,0,0,0,0,0,0
eChild #663,0,1,0,22,0,22,0,0,0,4,0,0,0
eChild #664,0,0,0,25,0,25,0,0,0,1,0,0,0
eChild #665,0,0,0,77,0,77,0,0,0,0,0,0,0
eChild #666,0,1,0,8,0,8,0,0,0,2,0,0,0
eChild #667,0,0,0,72,0,72,0,0,0,3,0,0,0
eChild #668,0,6,0,171,0,171,0,0,0,1,0,0,0
eChild #669,0,1,0,52,0,52,0,0,0,0,0,0,0
eChild #670,0,1,0,36,0,36,0,0,0,12,0,0,0
eChild #671,0,2,0,92,0,92,0,0,0,6,0,0,0
eChild #672,0,1,0,33,0,33,0,0,0,7,0,0,0
eChild #673,0,3,0,11,0,11,0,0,0,10,0,0,0
eChild #674,0,0,0,15,0,15,0,0,0,3,0,0,0
eChild #675,0,1,0,57,0,57,0,0,0,0,0,0,0
eChild #676,0,0,0,139,0,139,0,0,0,1,0,0,0
eChild #677,0,0,0,81,0,81,0,0,0,22,0,0,0
eChild #678,0,1,0,50,0,50,0,0,0,7,0,0,0
eChild #679,0,0,0,2,0,2,0,0,0,3,0,0,0
eChild #680,0,1,0,50,0,50,0,0,0,2,0,0,0
eChild #681,0,2,0,32,0,32,0,0,0,6,0,0,0
eChild #682,0,3,0,25,0,25,0,0,0,7,0,0,0
eChild #683,0,2,0,14,0,14,0,0,0,3,0,0,0
eChild #684,0,1,0,37,0,37,0,0,0,2,0,0,0
eChild #685,0,7,0,25,0,25,0,0,0,1,0,0,0
eChild #686,0,5,0,65,0,65,0,0,0,0,0,0,0
eChild #687,0,1,0,6,0,6,0,0,0,0,0,0,0
eChild #688,0,1,0,83,0,83,0,0,0,1,0,0,0
eChild #689,0,3,0,71,0,71,0,0,0,2,0,0,0
eChild #690,0,0,0,151,0,151,0,0,0,2,0,0,0
eChild #691,0,1,0,8,0,8,0,0,0,0,0,0,0
eChild #692,0,3,0,3,0,3,0,0,0,0,0,0,0
eChild #693,0,0,0,0,0,3,0,0,0,5,0,0,0
eChild #694,0,0,0,59,0,59,0,0,0,2,0,0,0
eChild #695,0,1,0,6,0,6,0,0,0,0,0,0,0
eChild #696,0,1,0,54,0,54,0,0,0,4,0,0,0
eChild #697,0,7,0,22,0,22,0,0,0,6,0,0,0
eChild #698,0,0,0,94,0,94,0,0,0,0,0,0,0
eChild #699,0,3,0,4,0,4,0,0,0,1,0,0,0
eChild #700,0,0,0,47,0,47,0,0,0,5,0,0,0
eChild #701,0,0,0,7,0,7,0,0,0,13,0,0,0
eChild #702,0,0,0,16,0,16,0,0,0,2,0,0,0
eChild #703,0,0,0,170,0,170,0,0,0,0,0,0,0
eChild #704,0,0,0,16,0,16,0,0,0,8,0,0,0
eChild #705,0,6,0,24,0,24,0,0,0,2,0,0,0
eChild #706,0,1,0,19,0,19,0,0,0,1,0,0,0
eChild #707,0,0,0,98,0,98,0,0,0,5,0,0,0
eChild #708,0,0,0,1,0,1,0,0,0,2,0,0,0
eChild #709,0,0,0,6,0,6,0,0,0,9,0,0,0
eChild #710,0,0,0,10,0,10,0,0,0,5,0,0,0
eChild #711,0,0,0,0,0,2,0,0,0,5,0,0,0
eChild #712,0,6,0,5,0,5,0,0,0,7,0,0,0
