p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,1,2,1,1,1,16,1,1,1
1,5,1,15,1,15,1,1,1,5,1,1,1
1,1,1,45,1,18,1,1,1,12,1,1,1
1,5,1,21,1,21,1,1,1,1,1,1,1
1,7,1,50,1,13,1,1,1,3,1,1,1
1,1,1,11,1,11,1,1,1,1,1,1,1
1,2,1,65,1,49,1,1,1,3,1,1,1
1,3,1,44,1,44,1,1,1,1,1,1,1
1,8,1,60,1,60,1,1,1,4,1,1,1
1,1,1,139,1,39,1,1,1,3,1,1,1
1,7,1,3,1,3,1,1,1,1,1,1,1
1,7,1,25,1,21,1,1,1,2,1,1,1
1,6,1,1,1,3,1,1,1,1,1,1,1
1,3,1,37,1,37,1,1,1,7,1,1,1
1,1,1,69,1,53,1,1,1,24,1,1,1
1,1,1,1,1,1,1,1,1,8,1,1,1
1,1,1,1,1,4,1,1,1,3,1,1,1
1,7,1,91,1,37,1,1,1,1,1,1,1
1,2,1,1,1,4,1,1,1,3,1,1,1
1,1,1,54,1,51,1,1,1,1,1,1,1
1,2,1,74,1,15,1,1,1,8,1,1,1
1,7,1,6,1,6,1,1,1,8,1,1,1
1,4,1,1,1,9,1,1,1,2,1,1,1
1,2,1,11,1,7,1,1,1,1,1,1,1
1,1,1,213,1,134,1,1,1,2,1,1,1
1,2,1,104,1,12,1,1,1,2,1,1,1
1,2,1,65,1,28,1,1,1,2,1,1,1
1,1,1,19,1,19,1,1,1,3,1,1,1
1,1,1,128,1,13,1,1,1,2,1,1,1
1,4,1,37,1,26,1,1,1,1,1,1,1
1,4,1,140,1,14,1,1,1,2,1,1,1
1,1,1,78,1,21,1,1,1,4,1,1,1
1,2,1,1,1,4,1,1,1,2,1,1,1
1,3,1,1,1,2,1,1,1,5,1,1,1
1,1,1,15,1,4,1,1,1,1,1,1,1
1,3,1,31,1,31,1,1,1,4,1,1,1
1,2,1,68,1,68,1,1,1,2,1,1,1
1,4,1,311,1,33,1,1,1,4,1,1,1
1,1,1,51,1,15,1,1,1,2,1,1,1
1,2,1,27,1,27,1,1,1,3,1,1,1
1,3,1,8,1,8,1,1,1,6,1,1,1
1,2,1,1,1,3,1,1,1,1,1,1,1
1,1,1,48,1,19,1,1,1,2,1,1,1
1,1,1,41,1,3,1,1,1,2,1,1,1
1,1,1,20,1,20,1,1,1,1,1,1,1
1,3,1,72,1,72,1,1,1,10,1,1,1
1,1,1,68,1,40,1,1,1,6,1,1,1
1,4,1,156,1,67,1,1,1,1,1,1,1
1,2,1,36,1,7,1,1,1,4,1,1,1
1,2,1,63,1,44,1,1,1,6,1,1,1
1,1,1,8,1,8,1,1,1,6,1,1,1
1,1,1,35,1,35,1,1,1,4,1,1,1
1,5,1,73,1,3,1,1,1,7,1,1,1
1,2,1,66,1,19,1,1,1,7,1,1,1
1,1,1,56,1,45,1,1,1,1,1,1,1
1,2,1,41,1,24,1,1,1,1,1,1,1
1,5,1,11,1,11,1,1,1,8,1,1,1
1,1,1,36,1,2,1,1,1,20,1,1,1
1,1,1,1,1,5,1,1,1,6,1,1,1
1,1,1,126,1,29,1,1,1,1,1,1,1
1,2,1,9,1,9,1,1,1,1,1,1,1
1,1,1,27,1,27,1,1,1,1,1,1,1
1,1,1,33,1,33,1,1,1,4,1,1,1
1,1,1,13,1,13,1,1,1,2,1,1,1
1,3,1,1,1,18,1,1,1,1,1,1,1
1,3,1,20,1,20,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,1,1,1,1,1
1,6,1,36,1,22,1,1,1,10,1,1,1
1,2,1,1,1,4,1,1,1,5,1,1,1
1,1,1,69,1,29,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,5,1,1,1
1,1,1,55,1,22,1,1,1,4,1,1,1
1,1,1,6,1,6,1,1,1,7,1,1,1
1,2,1,30,1,13,1,1,1,2,1,1,1
1,4,1,13,1,13,1,1,1,3,1,1,1
1,1,1,42,1,42,1,1,1,1,1,1,1
1,2,1,74,1,13,1,1,1,2,1,1,1
1,1,1,30,1,30,1,1,1,1,1,1,1
1,2,1,42,1,42,1,1,1,2,1,1,1
1,2,1,24,1,8,1,1,1,3,1,1,1
1,2,1,32,1,32,1,1,1,5,1,1,1
1,1,1,1,1,11,1,1,1,3,1,1,1
1,4,1,68,1,68,1,1,1,4,1,1,1
1,1,1,13,1,13,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,23,1,23,1,1,1,4,1,1,1
1,2,1,1,1,4,1,1,1,1,1,1,1
1,5,1,81,1,23,1,1,1,7,1,1,1
1,1,1,115,1,29,1,1,1,5,1,1,1
1,5,1,81,1,11,1,1,1,1,1,1,1
1,5,1,25,1,25,1,1,1,3,1,1,1
1,2,1,29,1,29,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,4,1,1,1
1,2,1,195,1,87,1,1,1,7,1,1,1
1,3,1,83,1,55,1,1,1,1,1,1,1
1,5,1,33,1,23,1,1,1,2,1,1,1
1,1,1,160,1,56,1,1,1,2,1,1,1
1,1,1,15,1,15,1,1,1,1,1,1,1
1,3,1,1,1,4,1,1,1,3,1,1,1
1,1,1,11,1,11,1,1,1,3,1,1,1
1,7,1,1,1,3,1,1,1,2,1,1,1
1,1,1,52,1,52,1,1,1,2,1,1,1
1,1,1,17,1,17,1,1,1,6,1,1,1
1,5,1,30,1,30,1,1,1,1,1,1,1
1,1,1,1,1,9,1,1,1,6,1,1,1
1,1,1,1,1,8,1,1,1,13,1,1,1
1,5,1,31,1,28,1,1,1,3,1,1,1
1,2,1,58,1,58,1,1,1,2,1,1,1
1,7,1,67,1,12,1,1,1,4,1,1,1
1,2,1,1,1,1,1,1,1,2,1,1,1
1,3,1,80,1,65,1,1,1,4,1,1,1
1,3,1,19,1,19,1,1,1,5,1,1,1
1,1,1,15,1,13,1,1,1,6,1,1,1
1,4,1,114,1,38,1,1,1,2,1,1,1
1,1,1,60,1,21,1,1,1,2,1,1,1
1,1,1,1,1,3,1,1,1,2,1,1,1
1,5,1,134,1,24,1,1,1,4,1,1,1
1,3,1,1,1,2,1,1,1,3,1,1,1
1,2,1,16,1,16,1,1,1,4,1,1,1
1,1,1,17,1,9,1,1,1,2,1,1,1
1,8,1,3,1,3,1,1,1,6,1,1,1
1,4,1,8,1,8,1,1,1,1,1,1,1
1,5,1,55,1,36,1,1,1,1,1,1,1
1,6,1,15,1,15,1,1,1,5,1,1,1
1,2,1,20,1,13,1,1,1,1,1,1,1
1,2,1,211,1,40,1,1,1,1,1,1,1
1,2,1,18,1,18,1,1,1,2,1,1,1
1,1,1,42,1,42,1,1,1,8,1,1,1
1,2,1,1,1,7,1,1,1,4,1,1,1
1,1,1,30,1,20,1,1,1,10,1,1,1
1,5,1,34,1,18,1,1,1,2,1,1,1
1,1,1,3,1,3,1,1,1,2,1,1,1
1,1,1,35,1,35,1,1,1,12,1,1,1
1,1,1,78,1,78,1,1,1,11,1,1,1
1,2,1,79,1,21,1,1,1,2,1,1,1
1,2,1,9,1,9,1,1,1,4,1,1,1
1,9,1,128,1,54,1,1,1,9,1,1,1
1,3,1,21,1,17,1,1,1,2,1,1,1
1,2,1,7,1,7,1,1,1,1,1,1,1
1,1,1,51,1,51,1,1,1,3,1,1,1
1,7,1,41,1,31,1,1,1,2,1,1,1
1,4,1,26,1,26,1,1,1,4,1,1,1
1,2,1,129,1,42,1,1,1,1,1,1,1
1,2,1,72,1,28,1,1,1,1,1,1,1
1,1,1,52,1,20,1,1,1,1,1,1,1
1,7,1,1,1,2,1,1,1,1,1,1,1
1,4,1,5,1,5,1,1,1,1,1,1,1
1,2,1,37,1,17,1,1,1,1,1,1,1
1,1,1,197,1,38,1,1,1,2,1,1,1
1,1,1,1,1,7,1,1,1,6,1,1,1
1,1,1,49,1,20,1,1,1,2,1,1,1
1,1,1,1,1,2,1,1,1,5,1,1,1
1,1,1,1,1,9,1,1,1,3,1,1,1
1,4,1,103,1,28,1,1,1,2,1,1,1
1,2,1,23,1,23,1,1,1,2,1,1,1
1,1,1,2,1,2,1,1,1,9,1,1,1
1,9,1,15,1,15,1,1,1,3,1,1,1
1,2,1,2,1,2,1,1,1,3,1,1,1
1,1,1,69,1,69,1,1,1,1,1,1,1
1,1,1,12,1,12,1,1,1,2,1,1,1
1,3,1,10,1,10,1,1,1,1,1,1,1
1,13,1,9,1,9,1,1,1,1,1,1,1
1,4,1,88,1,23,1,1,1,1,1,1,1
1,6,1,12,1,12,1,1,1,6,1,1,1
1,3,1,61,1,18,1,1,1,4,1,1,1
1,1,1,98,1,5,1,1,1,10,1,1,1
1,1,1,4,1,4,1,1,1,5,1,1,1
1,2,1,93,1,28,1,1,1,4,1,1,1
1,4,1,54,1,54,1,1,1,1,1,1,1
1,1,1,9,1,9,1,1,1,1,1,1,1
1,1,1,76,1,76,1,1,1,3,1,1,1
1,3,1,89,1,67,1,1,1,2,1,1,1
1,5,1,33,1,26,1,1,1,2,1,1,1
1,1,1,23,1,23,1,1,1,1,1,1,1
1,7,1,127,1,56,1,1,1,1,1,1,1
1,3,1,1,1,3,1,1,1,2,1,1,1
1,1,1,117,1,99,1,1,1,8,1,1,1
1,3,1,22,1,22,1,1,1,9,1,1,1
1,2,1,5,1,5,1,1,1,4,1,1,1
